"Label (Grouping)","Norfolk County, Massachusetts!!Total!!Estimate","Norfolk County, Massachusetts!!Total!!Margin of Error","Norfolk County, Massachusetts!!Percent!!Estimate","Norfolk County, Massachusetts!!Percent!!Margin of Error","Norfolk County, Massachusetts!!Male!!Estimate","Norfolk County, Massachusetts!!Male!!Margin of Error","Norfolk County, Massachusetts!!Percent Male!!Estimate","Norfolk County, Massachusetts!!Percent Male!!Margin of Error","Norfolk County, Massachusetts!!Female!!Estimate","Norfolk County, Massachusetts!!Female!!Margin of Error","Norfolk County, Massachusetts!!Percent Female!!Estimate","Norfolk County, Massachusetts!!Percent Female!!Margin of Error"
"Total population","703,740","*****","(X)","(X)","338,772","±89","(X)","(X)","364,968","±89","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","37,470","±5","5.3%","±0.1","19,146","±19","5.7%","±0.1","18,324","±20","5.0%","±0.1"
"        5 to 9 years","38,874","±1,204","5.5%","±0.2","19,877","±732","5.9%","±0.2","18,997","±823","5.2%","±0.2"
"        10 to 14 years","43,573","±1,203","6.2%","±0.2","22,139","±731","6.5%","±0.2","21,434","±827","5.9%","±0.2"
"        15 to 19 years","45,211","±119","6.4%","±0.1","22,817","±93","6.7%","±0.1","22,394","±56","6.1%","±0.1"
"        20 to 24 years","43,453","±32","6.2%","±0.1","21,145","±8","6.2%","±0.1","22,308","±32","6.1%","±0.1"
"        25 to 29 years","44,542","±115","6.3%","±0.1","21,961","±100","6.5%","±0.1","22,581","±53","6.2%","±0.1"
"        30 to 34 years","46,300","±90","6.6%","±0.1","22,761","±68","6.7%","±0.1","23,539","±53","6.4%","±0.1"
"        35 to 39 years","44,744","±1,567","6.4%","±0.2","21,561","±1,053","6.4%","±0.3","23,183","±898","6.4%","±0.2"
"        40 to 44 years","44,060","±1,551","6.3%","±0.2","21,884","±1,038","6.5%","±0.3","22,176","±901","6.1%","±0.2"
"        45 to 49 years","47,732","±96","6.8%","±0.1","23,052","±48","6.8%","±0.1","24,680","±69","6.8%","±0.1"
"        50 to 54 years","51,276","±57","7.3%","±0.1","24,821","±45","7.3%","±0.1","26,455","±34","7.2%","±0.1"
"        55 to 59 years","52,280","±1,305","7.4%","±0.2","25,194","±821","7.4%","±0.2","27,086","±929","7.4%","±0.3"
"        60 to 64 years","45,656","±1,308","6.5%","±0.2","21,852","±823","6.5%","±0.2","23,804","±930","6.5%","±0.3"
"        65 to 69 years","37,196","±1,100","5.3%","±0.2","17,315","±621","5.1%","±0.2","19,881","±702","5.4%","±0.2"
"        70 to 74 years","28,758","±1,100","4.1%","±0.2","12,994","±621","3.8%","±0.2","15,764","±702","4.3%","±0.2"
"        75 to 79 years","19,768","±939","2.8%","±0.1","8,503","±626","2.5%","±0.2","11,265","±600","3.1%","±0.2"
"        80 to 84 years","14,255","±841","2.0%","±0.1","5,923","±634","1.7%","±0.2","8,332","±529","2.3%","±0.1"
"        85 years and over","18,592","±884","2.6%","±0.1","5,827","±527","1.7%","±0.2","12,765","±673","3.5%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","82,447","±105","11.7%","±0.1","42,016","±82","12.4%","±0.1","40,431","±54","11.1%","±0.1"
"        15 to 17 years","27,385","±72","3.9%","±0.1","14,088","±57","4.2%","±0.1","13,297","±56","3.6%","±0.1"
"        Under 18 years","147,302","±82","20.9%","±0.1","75,250","±99","22.2%","±0.1","72,052","±67","19.7%","±0.1"
"        18 to 24 years","61,279","±74","8.7%","±0.1","29,874","±74","8.8%","±0.1","31,405","±31","8.6%","±0.1"
"        15 to 44 years","268,310","±137","38.1%","±0.1","132,129","±123","39.0%","±0.1","136,181","±73","37.3%","±0.1"
"        16 years and over","575,183","±510","81.7%","±0.1","273,113","±433","80.6%","±0.1","302,070","±338","82.8%","±0.1"
"        18 years and over","556,438","±82","79.1%","±0.1","263,522","±97","77.8%","±0.1","292,916","±53","80.3%","±0.1"
"        21 years and over","530,550","±597","75.4%","±0.1","250,556","±451","74.0%","±0.1","279,994","±446","76.7%","±0.1"
"        60 years and over","164,225","±1,304","23.3%","±0.2","72,414","±824","21.4%","±0.2","91,811","±922","25.2%","±0.3"
"        62 years and over","145,408","±1,119","20.7%","±0.2","63,431","±743","18.7%","±0.2","81,977","±743","22.5%","±0.2"
"        65 years and over","118,569","±75","16.8%","±0.1","50,562","±32","14.9%","±0.1","68,007","±66","18.6%","±0.1"
"        75 years and over","52,615","±48","7.5%","±0.1","20,253","±30","6.0%","±0.1","32,362","±41","8.9%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","40.9","±0.2","(X)","(X)","39.6","±0.3","(X)","(X)","42.3","±0.2","(X)","(X)"
"        Sex ratio (males per 100 females)","92.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","60.7","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
