"Labor Force and Unemployment Data"

"Geographic Area:","County"
"Area","NORFOLK COUNTY"
"Time Frame:","2021, 2020"
"Not Seasonally Adjusted"
"Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"2021","January","386547","360991","25556","6.6","7.7"
"2021","February","387691","363342","24349","6.3","7.2"
"2021","March","388680","365881","22799","5.9","6.7"
"2021","April","387671","366547","21124","5.4","6.1"
"2021","May","386745","366366","20379","5.3","5.8"
"2021","June","392143","369878","22265","5.7","6.2"
"2021","July","393960","372576","21384","5.4","5.9"
"2021","August","393990","374574","19416","4.9","5.4"
"2021","September","389095","371048","18047","4.6","5.0"
"2021","October","392284","375757","16527","4.2","4.6"
"2021","November","394483","379318","15165","3.8","4.2"
"2021","December","393550","379370","14180","3.6","4.1"
"2021","Annual","390570","370471","20099","5.1","5.7"
"2020","January","398406","386780","11626","2.9","3.5"
"2020","February","399212","388385","10827","2.7","3.3"
"2020","March","393652","381681","11971","3.0","3.6"
"2020","April","361641","304310","57331","15.9","16.7"
"2020","May","381721","323969","57752","15.1","15.6"
"2020","June","393701","339136","54565","13.9","14.5"
"2020","July","395197","346500","48697","12.3","13.0"
"2020","August","394626","355997","38629","9.8","10.3"
"2020","September","390652","353952","36700","9.4","9.8"
"2020","October","392323","361644","30679","7.8","8.1"
"2020","November","390916","362558","28358","7.3","7.6"
"2020","December","388225","362457","25768","6.6","7.4"
"2020","Annual","390023","355614","34409","8.8","9.4"

"The labor force estimates for towns with 2010 Census population of less than 1,000 were produced using the BLS methodology, but are not official BLS estimates."

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
