"Label (Grouping)","Norfolk County, Massachusetts!!Estimate","Norfolk County, Massachusetts!!Margin of Error"
"Total:","703,740","*****"
"    Not Hispanic or Latino:","670,478","*****"
"        White alone","518,457","±1,599"
"        Black or African American alone","47,660","±1,046"
"        American Indian and Alaska Native alone","770","±189"
"        Asian alone","79,367","±1,116"
"        Native Hawaiian and Other Pacific Islander alone","244","±118"
"        Some other race alone","4,502","±1,099"
"        Two or more races:","19,478","±1,880"
"            Two races including Some other race","3,361","±1,216"
"            Two races excluding Some other race, and three or more races","16,117","±1,537"
"    Hispanic or Latino:","33,262","*****"
"        White alone","17,260","±1,174"
"        Black or African American alone","2,848","±720"
"        American Indian and Alaska Native alone","251","±116"
"        Asian alone","445","±228"
"        Native Hawaiian and Other Pacific Islander alone","20","±25"
"        Some other race alone","7,138","±1,269"
"        Two or more races:","5,300","±786"
"            Two races including Some other race","3,031","±627"
"            Two races excluding Some other race, and three or more races","2,269","±626"
